size_bytes,duration_seconds,file_extension,filepath_anonymized,size_mb,duration_min
13321776,332.9316,mp3,Sonica/audio/rehearsal archive/20190525/song_09_v8.mp3,12.704635620117188,5.54886
13086876,327.0591,mp3,Sonica/audio/rehearsal archive/20190525/song_10_v6.mp3,12.48061752319336,5.450985
13581732,339.4305,mp3,Sonica/audio/rehearsal archive/20190525/song_15_v6.mp3,12.95254898071289,5.657175
12618490,315.3402,mp3,Sonica/audio/rehearsal archive/20190525/song_16_v5.mp3,12.033929824829102,5.255669999999999
6816982,170.3025,mp3,Sonica/audio/rehearsal archive/20190525/song_17_v4 (Sunburst Finish).mp3,6.501180648803711,2.838375
10227730,255.5712,mp3,Sonica/audio/rehearsal archive/20190525/song_18_v4 (Curves).mp3,9.753923416137695,4.25952
14451757,361.1718,mp3,Sonica/audio/rehearsal archive/20190525/song_21_v2 (Isaak).mp3,13.782269477844238,6.0195300000000005
19022016,475.4376,mp3,Sonica/audio/rehearsal archive/20190525/song_24_v2.mp3,18.14080810546875,7.923959999999999
15299112,382.365,mp3,Sonica/audio/rehearsal archive/20190525/song_25_v2.mp3,14.590370178222656,6.37275
4096,,mp3,Sonica/audio/rehearsal archive/20190608/._song_04_v10.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190608/._song_05_v14.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190608/._song_07_v7.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190608/._song_09_v9.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190608/._song_10_v7.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190608/._song_11_v8.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190608/._song_13_v7.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190608/._song_14_v6.mp3,0.00390625,
4096,,mp3,Sonica/audio/rehearsal archive/20190608/._song_15_v7.mp3,0.00390625,
